loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
2023-11-22T21:51:43.503+01:00,13754.409648875,-0.391845703125,-0.3051300048828125,-0.933746337890625
2023-11-22T21:51:43.517+01:00,13754.429586875,0.0767364501953125,-0.3084869384765625,-0.938079833984375
2023-11-22T21:51:43.532+01:00,13754.449523875,-0.18292236328125,-0.225555419921875,-0.985107421875
2023-11-22T21:51:43.552+01:00,13754.469461875,-0.1558074951171875,-0.2483367919921875,-0.958648681640625
2023-11-22T21:51:43.572+01:00,13754.489398875,-0.1168212890625,-0.293212890625,-0.92669677734375
2023-11-22T21:51:43.592+01:00,13754.509336875,-0.139404296875,-0.28173828125,-0.9357452392578125
2023-11-22T21:51:43.612+01:00,13754.529273875,-0.1221466064453125,-0.285308837890625,-0.9554290771484375
2023-11-22T21:51:43.632+01:00,13754.549211875,-0.1328125,-0.301971435546875,-0.943572998046875
2023-11-22T21:51:43.652+01:00,13754.569148875,-0.1201629638671875,-0.284423828125,-0.9302978515625
2023-11-22T21:51:43.672+01:00,13754.589086875,-0.1185455322265625,-0.267669677734375,-0.933258056640625
2023-11-22T21:51:43.694+01:00,13754.609023875,-0.1279144287109375,-0.273681640625,-0.9521026611328125
2023-11-22T21:51:43.714+01:00,13754.628961875,-0.128692626953125,-0.2696533203125,-0.9539794921875
2023-11-22T21:51:43.732+01:00,13754.648898875,-0.129791259765625,-0.2680206298828125,-0.9535064697265625
2023-11-22T21:51:43.752+01:00,13754.668836875,-0.132171630859375,-0.28240966796875,-0.9615478515625
2023-11-22T21:51:43.771+01:00,13754.688773875,-0.1346893310546875,-0.2796478271484375,-0.9516754150390625
2023-11-22T21:51:43.791+01:00,13754.708711875,-0.1341552734375,-0.26202392578125,-0.93560791015625
2023-11-22T21:51:43.811+01:00,13754.728648875,-0.1262664794921875,-0.2739410400390625,-0.935028076171875
2023-11-22T21:51:43.832+01:00,13754.748586875,-0.1335906982421875,-0.284027099609375,-0.9390411376953125
2023-11-22T21:51:43.851+01:00,13754.768523875,-0.136138916015625,-0.270843505859375,-0.944580078125
2023-11-22T21:51:43.871+01:00,13754.788461875,-0.139892578125,-0.2736663818359375,-0.949127197265625
2023-11-22T21:51:43.900+01:00,13754.808398875,-0.1291656494140625,-0.28302001953125,-0.958770751953125
2023-11-22T21:51:43.920+01:00,13754.828335875,-0.136474609375,-0.2694854736328125,-0.9618682861328125
2023-11-22T21:51:43.932+01:00,13754.848273875,-0.138458251953125,-0.2471923828125,-0.957611083984375
2023-11-22T21:51:43.951+01:00,13754.868210875,-0.14324951171875,-0.2466583251953125,-0.971435546875
2023-11-22T21:51:43.971+01:00,13754.88814941667,-0.141448974609375,-0.264404296875,-0.9738006591796875
2023-11-22T21:51:43.991+01:00,13754.90808641667,-0.140472412109375,-0.2610015869140625,-0.95928955078125
2023-11-22T21:51:44.011+01:00,13754.92802441667,-0.135345458984375,-0.2528228759765625,-0.95849609375
2023-11-22T21:51:44.031+01:00,13754.94796141667,-0.13983154296875,-0.2607574462890625,-0.95867919921875
2023-11-22T21:51:44.051+01:00,13754.96789941667,-0.1284332275390625,-0.2679595947265625,-0.9525146484375
2023-11-22T21:51:44.071+01:00,13754.98783641667,-0.130340576171875,-0.2622528076171875,-0.93798828125
2023-11-22T21:51:44.091+01:00,13755.00777441667,-0.1195831298828125,-0.2531585693359375,-0.9375457763671875
2023-11-22T21:51:44.111+01:00,13755.02771141667,-0.123443603515625,-0.2599029541015625,-0.9515380859375
2023-11-22T21:51:44.131+01:00,13755.04764941667,-0.1277313232421875,-0.2557525634765625,-0.9564971923828125
2023-11-22T21:51:44.151+01:00,13755.06758641667,-0.1307525634765625,-0.24945068359375,-0.955780029296875
2023-11-22T21:51:44.170+01:00,13755.08752441667,-0.1307373046875,-0.24932861328125,-0.9652252197265625
2023-11-22T21:51:44.190+01:00,13755.10746141667,-0.1358184814453125,-0.256500244140625,-0.9660186767578125
2023-11-22T21:51:44.210+01:00,13755.12739941667,-0.1314544677734375,-0.2550811767578125,-0.9537200927734375
2023-11-22T21:51:44.230+01:00,13755.14733641667,-0.1351776123046875,-0.2559661865234375,-0.9535675048828125
2023-11-22T21:51:44.250+01:00,13755.16727441667,-0.1413421630859375,-0.268798828125,-0.96136474609375
2023-11-22T21:51:44.270+01:00,13755.18721141667,-0.1632843017578125,-0.2783355712890625,-0.9576263427734375
2023-11-22T21:51:44.290+01:00,13755.20714941667,-0.182281494140625,-0.2888336181640625,-0.95556640625
2023-11-22T21:51:44.310+01:00,13755.22708641667,-0.2070465087890625,-0.293670654296875,-0.934326171875
2023-11-22T21:51:44.330+01:00,13755.24702341667,-0.2520751953125,-0.2975921630859375,-0.8887939453125
2023-11-22T21:51:44.350+01:00,13755.26696141667,-0.3076324462890625,-0.2776641845703125,-0.806365966796875
2023-11-22T21:51:44.370+01:00,13755.28689841667,-0.385894775390625,-0.258758544921875,-0.71697998046875
2023-11-22T21:51:44.390+01:00,13755.30683641667,-0.447418212890625,-0.2787933349609375,-0.633941650390625
2023-11-22T21:51:44.410+01:00,13755.32677341667,-0.472686767578125,-0.2695159912109375,-0.5494384765625
2023-11-22T21:51:44.430+01:00,13755.34671141667,-0.5126190185546875,-0.1981658935546875,-0.5331268310546875
2023-11-22T21:51:44.450+01:00,13755.36664841667,-0.530975341796875,-0.0786590576171875,-0.5673675537109375
2023-11-22T21:51:44.470+01:00,13755.38658641667,-0.511810302734375,-0.0423126220703125,-0.6075897216796875
2023-11-22T21:51:44.489+01:00,13755.40652341667,-0.4946136474609375,-0.007965087890625,-0.6302032470703125
2023-11-22T21:51:44.509+01:00,13755.42646141667,-0.50830078125,0.119720458984375,-0.7249298095703125
2023-11-22T21:51:44.529+01:00,13755.44639841667,-0.4956207275390625,0.366912841796875,-0.8407745361328125
2023-11-22T21:51:44.549+01:00,13755.46633641667,-0.375732421875,0.5058441162109375,-0.901641845703125
2023-11-22T21:51:44.569+01:00,13755.48627341667,-0.2478485107421875,0.4891815185546875,-0.910400390625
2023-11-22T21:51:44.590+01:00,13755.50621141667,-0.205902099609375,0.5440673828125,-0.9363555908203125
2023-11-22T21:51:44.609+01:00,13755.52614841667,-0.1767578125,0.6287994384765625,-0.9777984619140625
2023-11-22T21:51:44.629+01:00,13755.54608641667,-0.1414031982421875,0.6183929443359375,-0.9963531494140625
2023-11-22T21:51:44.649+01:00,13755.56602341667,-0.1514739990234375,0.5497589111328125,-0.99798583984375
2023-11-22T21:51:44.669+01:00,13755.58596141667,-0.14385986328125,0.4627838134765625,-0.96923828125
2023-11-22T21:51:44.689+01:00,13755.60589841667,-0.1128082275390625,0.41937255859375,-0.942108154296875
2023-11-22T21:51:44.709+01:00,13755.62583641667,-0.0758514404296875,0.4419708251953125,-0.916259765625
2023-11-22T21:51:44.729+01:00,13755.64577341667,-0.0512542724609375,0.4642791748046875,-0.88189697265625
2023-11-22T21:51:44.749+01:00,13755.66571141667,-0.04052734375,0.454681396484375,-0.8315277099609375
2023-11-22T21:51:44.769+01:00,13755.68564841667,-0.0242767333984375,0.419891357421875,-0.7675933837890625
2023-11-22T21:51:44.789+01:00,13755.70558641667,-0.0493621826171875,0.4637603759765625,-0.721221923828125
2023-11-22T21:51:44.808+01:00,13755.72552341667,-0.0815582275390625,0.504791259765625,-0.7215118408203125
2023-11-22T21:51:44.828+01:00,13755.74546141667,-0.06951904296875,0.5018310546875,-0.6937408447265625
2023-11-22T21:51:44.848+01:00,13755.76539841667,-0.1021270751953125,0.45697021484375,-0.6295013427734375
2023-11-22T21:51:44.869+01:00,13755.78533641667,-0.167633056640625,0.3967437744140625,-0.557708740234375
2023-11-22T21:51:44.888+01:00,13755.80527341667,-0.223114013671875,0.408203125,-0.5153350830078125
2023-11-22T21:51:44.908+01:00,13755.82521141667,-0.3145904541015625,0.4477996826171875,-0.4574127197265625
2023-11-22T21:51:44.928+01:00,13755.84514841667,-0.4354095458984375,0.4146881103515625,-0.3802337646484375
2023-11-22T21:51:44.948+01:00,13755.86508641667,-0.543426513671875,0.338409423828125,-0.41705322265625
2023-11-22T21:51:44.968+01:00,13755.885022375,-0.6392364501953125,0.251373291015625,-0.420867919921875
2023-11-22T21:51:44.988+01:00,13755.904960375,-0.782867431640625,0.2140350341796875,-0.4241790771484375
2023-11-22T21:51:45.008+01:00,13755.924897375,-0.892242431640625,0.14453125,-0.3618621826171875
2023-11-22T21:51:45.028+01:00,13755.944835375,-0.9448394775390625,0.096588134765625,-0.362030029296875
2023-11-22T21:51:45.048+01:00,13755.964772375,-0.9971466064453125,0.1581878662109375,-0.4217071533203125
2023-11-22T21:51:45.068+01:00,13755.984710375,-1.06927490234375,0.1605682373046875,-0.4664459228515625
2023-11-22T21:51:45.088+01:00,13756.004647375,-1.097900390625,0.18017578125,-0.475677490234375
2023-11-22T21:51:45.108+01:00,13756.024585375,-1.0975341796875,0.166900634765625,-0.4866790771484375
2023-11-22T21:51:45.128+01:00,13756.044522375,-1.129119873046875,0.18359375,-0.5028533935546875
2023-11-22T21:51:45.147+01:00,13756.064460375,-1.188079833984375,0.2958831787109375,-0.524871826171875
2023-11-22T21:51:45.167+01:00,13756.084397375,-1.124832153320312,0.39996337890625,-0.436126708984375
2023-11-22T21:51:45.187+01:00,13756.104335375,-1.095458984375,0.4365234375,-0.410491943359375
2023-11-22T21:51:45.207+01:00,13756.124272375,-1.21026611328125,0.5625,-0.390777587890625
2023-11-22T21:51:45.229+01:00,13756.144209375,-1.318145751953125,0.6358489990234375,-0.392120361328125
2023-11-22T21:51:45.254+01:00,13756.164147375,-1.322006225585938,0.749359130859375,-0.3800811767578125
2023-11-22T21:51:45.267+01:00,13756.184084375,-1.3287353515625,0.845428466796875,-0.3945770263671875
2023-11-22T21:51:45.287+01:00,13756.204022375,-1.322250366210938,0.8772430419921875,-0.3865203857421875
2023-11-22T21:51:45.307+01:00,13756.223959375,-1.1878662109375,0.8485870361328125,-0.355316162109375
2023-11-22T21:51:45.327+01:00,13756.243897375,-1.09393310546875,0.8240814208984375,-0.275146484375
2023-11-22T21:51:45.347+01:00,13756.263834375,-1.045867919921875,0.7459869384765625,-0.21929931640625
2023-11-22T21:51:45.367+01:00,13756.283772375,-0.99481201171875,0.58038330078125,-0.1986236572265625
2023-11-22T21:51:45.387+01:00,13756.303709375,-0.968719482421875,0.507171630859375,-0.169952392578125
2023-11-22T21:51:45.407+01:00,13756.323647375,-1.033096313476562,0.5368499755859375,-0.1976776123046875
2023-11-22T21:51:45.426+01:00,13756.343584375,-1.079147338867188,0.4972381591796875,-0.214813232421875
2023-11-22T21:51:45.447+01:00,13756.363522375,-1.16387939453125,0.3938446044921875,-0.1965179443359375
2023-11-22T21:51:45.466+01:00,13756.383459375,-1.2166748046875,0.4017791748046875,-0.27655029296875
2023-11-22T21:51:45.486+01:00,13756.403397375,-1.240936279296875,0.4627532958984375,-0.23553466796875
2023-11-22T21:51:45.506+01:00,13756.423334375,-1.2177734375,0.5052642822265625,-0.288177490234375
2023-11-22T21:51:45.526+01:00,13756.443272375,-1.1168212890625,0.627716064453125,-0.338592529296875
2023-11-22T21:51:45.546+01:00,13756.463209375,-1.055023193359375,0.602752685546875,-0.403594970703125
2023-11-22T21:51:45.566+01:00,13756.483147375,-1.056686401367188,0.553497314453125,-0.3951568603515625
2023-11-22T21:51:45.586+01:00,13756.503084375,-1.022964477539062,0.7295074462890625,-0.445587158203125
2023-11-22T21:51:45.606+01:00,13756.523022375,-1.031082153320312,0.7295379638671875,-0.3325347900390625
2023-11-22T21:51:45.626+01:00,13756.542959375,-1.032424926757812,0.1942596435546875,-0.1424560546875
2023-11-22T21:51:45.646+01:00,13756.562897375,-0.8462371826171875,0.5529022216796875,0.1055908203125
2023-11-22T21:51:45.666+01:00,13756.582834375,-1.117721557617188,0.808929443359375,0.04022216796875
2023-11-22T21:51:45.686+01:00,13756.602772375,-1.037994384765625,0.540679931640625,0.05572509765625
2023-11-22T21:51:45.706+01:00,13756.622709375,-0.9725494384765625,0.6478118896484375,-0.0861663818359375
2023-11-22T21:51:45.726+01:00,13756.642647375,-0.941253662109375,0.986358642578125,-0.4635467529296875
2023-11-22T21:51:45.745+01:00,13756.662584375,-0.8722991943359375,0.5565338134765625,-0.013031005859375
2023-11-22T21:51:45.765+01:00,13756.682522375,-0.843505859375,0.1828460693359375,0.1467742919921875
2023-11-22T21:51:45.785+01:00,13756.702459375,-0.9025115966796875,0.3588104248046875,0.086669921875
2023-11-22T21:51:45.805+01:00,13756.722397375,-0.859405517578125,0.479461669921875,0.0605621337890625
2023-11-22T21:51:45.825+01:00,13756.742334375,-0.7379150390625,0.379364013671875,0.1180572509765625
2023-11-22T21:51:45.845+01:00,13756.762272375,-0.6065521240234375,0.3570709228515625,0.1754913330078125
2023-11-22T21:51:45.865+01:00,13756.782209375,-0.4502716064453125,0.4593048095703125,0.288421630859375
2023-11-22T21:51:45.885+01:00,13756.802147375,-0.2757415771484375,0.530242919921875,0.4952850341796875
2023-11-22T21:51:45.905+01:00,13756.822084375,-0.1494903564453125,0.5332489013671875,0.82025146484375
2023-11-22T21:51:45.925+01:00,13756.842022375,-0.1076812744140625,0.6913909912109375,1.2110595703125
2023-11-22T21:51:45.945+01:00,13756.861959375,-0.203857421875,0.9161529541015625,1.578216552734375
2023-11-22T21:51:45.965+01:00,13756.881898375,-0.394378662109375,1.04278564453125,2.012786865234375
2023-11-22T21:51:45.985+01:00,13756.901835375,-0.7276763916015625,0.920654296875,2.528564453125
